30.0921 	EXP 	fixation: autoDraw = False
30.3809 	EXP 	grating: autoDraw = False
31.2494 	EXP 	New trial (rep=7, index=0): None
31.2543 	DATA 	Keypress: up
31.2594 	EXP 	fixation: autoDraw = False
31.2594 	EXP 	grating: autoDraw = False
31.2594 	EXP 	grating: ori = 0.0
31.2594 	EXP 	fixation: autoDraw = True
32.2421 	EXP 	grating: autoDraw = True
32.2476 	EXP 	fixation: autoDraw = False
32.5319 	EXP 	grating: autoDraw = False
33.1512 	EXP 	New trial (rep=8, index=0): None
33.1557 	DATA 	Keypress: down
33.1608 	EXP 	fixation: autoDraw = False
33.1608 	EXP 	grating: autoDraw = False
33.1608 	EXP 	grating: ori = -3.0
33.1608 	EXP 	fixation: autoDraw = True
34.1419 	EXP 	grating: autoDraw = True
34.1590 	EXP 	fixation: autoDraw = False
34.4319 	EXP 	grating: autoDraw = False
34.8367 	EXP 	New trial (rep=9, index=0): None
34.8420 	DATA 	Keypress: down
34.8465 	EXP 	fixation: autoDraw = False
34.8465 	EXP 	grating: autoDraw = False
34.8465 	EXP 	grating: ori = 1.0
34.8465 	EXP 	fixation: autoDraw = True
35.8328 	EXP 	grating: autoDraw = True
35.8425 	EXP 	fixation: autoDraw = False
36.1260 	EXP 	grating: autoDraw = False
36.6333 	EXP 	New trial (rep=10, index=0): None
36.6383 	DATA 	Keypress: up
36.6431 	EXP 	fixation: autoDraw = False
36.6431 	EXP 	grating: autoDraw = False
36.6431 	EXP 	grating: ori = 3.0
36.6431 	EXP 	fixation: autoDraw = True
37.6254 	EXP 	grating: autoDraw = True
37.6309 	EXP 	fixation: autoDraw = False
37.9151 	EXP 	grating: autoDraw = False
38.1983 	EXP 	New trial (rep=11, index=0): None
38.2028 	DATA 	Keypress: down
38.2079 	EXP 	fixation: autoDraw = False
38.2079 	EXP 	grating: autoDraw = False
38.2079 	EXP 	grating: ori = 4.0
38.2079 	EXP 	fixation: autoDraw = True
39.1920 	EXP 	grating: autoDraw = True
39.1972 	EXP 	fixation: autoDraw = False
39.4807 	EXP 	grating: autoDraw = False
39.8714 	EXP 	New trial (rep=12, index=0): None
39.8762 	DATA 	Keypress: down
39.8806 	EXP 	fixation: autoDraw = False
39.8806 	EXP 	grating: autoDraw = False
