tilt,condition,response_key.keys,response_key.corr,,,,,,,,,,,,
3,correct rejection,down,1,,,,,,,,,,,,
-5,correct rejection,down,1,,,,,,,,,,,,
-2,correct rejection,down,1,,,,,,,,,,,,
1,false alarm,up,0,,,,,,,,,,,,
-3,correct rejection,down,1,,,,,,,,,,,,
-5,correct rejection,down,1,,,,,,,,,,,,
4,correct rejection,down,1,,,,,,,,,,,,
1,false alarm,up,0,,,,,,,,,,,,
-3,correct rejection,down,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
3,correct rejection,down,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
-5,correct rejection,down,1,,,,,,,,,,,,
-4,correct rejection,down,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
-1,correct rejection,down,1,,,,,,,,,,,,
0,miss,down,0,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
3,correct rejection,down,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
-3,correct rejection,down,1,,,,,,,,,,,,
-4,correct rejection,down,1,,,,,,,,,,,,
0,miss,down,0,,,,,,,,,,,,
4,correct rejection,down,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
1,false alarm,up,0,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
-5,correct rejection,down,1,,,,,,,,,,,,
4,correct rejection,down,1,,,,,,,,,,,,
-5,correct rejection,down,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
-4,correct rejection,down,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
4,correct rejection,down,1,,,,,,,,,,,,
2,correct rejection,down,1,,,,,,,,,,,,
-3,correct rejection,down,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
-4,correct rejection,down,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,miss,down,0,,,,,,,,,,,,
2,correct rejection,down,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
4,correct rejection,down,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
1,false alarm,up,0,,,,,,,,,,,,
4,correct rejection,down,1,,,,,,,,,,,,
3,correct rejection,down,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
-2,correct rejection,down,1,,,,,,,,,,,,
-4,correct rejection,down,1,,,,,,,,,,,,
-1,correct rejection,down,1,,,,,,,,,,,,
1,false alarm,up,0,,,,,,,,,,,,
3,correct rejection,down,1,,,,,,,,,,,,
0,miss,down,0,,,,,,,,,,,,
-5,correct rejection,down,1,,,,,,,,,,,,
1,false alarm,up,0,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
