trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
175,0,175,0,10,300.18291968799895,300.18291968799895,0.0416124769981252,[0.42],[0.02],[1],[0],[0],[1.565886379998119],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
176,0,176,0,10,301.7991656969971,301.7991656969971,0.04281066200201167,[-0.34444444444444444],[0.2388888888888889],[1],[0],[0],[1.3748282140004449],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
177,0,177,0,5,303.19180584799324,303.19180584799324,0.02308595499926014,[0.1111111111111111],[0.12333333333333334],[1],[0],[0],[1.23814939300064],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
178,0,178,0,10,304.49305750799977,304.49305750799977,0.044340090003970545,[-0.41555555555555557],[-0.14444444444444443],[1],[0],[0],[1.2455908300034935],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
179,0,179,0,5,305.75594747699506,305.75594747699506,0.022853162998217158,[0.32555555555555554],[0.057777777777777775],[1],[0],[0],[2.216256378000253],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
180,0,180,0,5,308.00247944500006,308.00247944500006,0.023638560996914748,[0.4166666666666667],[0.41444444444444445],[1],[0],[0],[9.7560909810054],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
181,0,181,0,10,317.8149177059968,317.8149177059968,0.042815628003154416,[-0.07111111111111111],[0.15222222222222223],[1],[0],[0],[2.0541769420015044],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
182,0,182,0,5,319.89027137299854,319.89027137299854,0.02334794800117379,[0.37333333333333335],[-0.25222222222222224],[1],[0],[0],[1.7859624400007306],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
183,0,183,0,10,321.73132722599985,321.73132722599985,0.04463972999656107,[0.3211111111111111],[-0.03333333333333333],[1],[0],[0],[1.3090646760028903],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
184,0,184,0,10,323.0980633999934,323.0980633999934,0.042691214999649674,[0.02666666666666667],[0.36777777777777776],[1],[0],[0],[1.9506296719991951],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
185,0,185,0,5,325.0654411899959,325.0654411899959,0.02287508900190005,[-0.43666666666666665],[0.4444444444444444],[1],[0],[0],[1.729483485003584],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
186,0,186,0,10,326.85489447099826,326.85489447099826,0.04282857900398085,[-0.3811111111111111],[-0.052222222222222225],[1],[0],[0],[2.2158874470042065],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
