trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
173,0,173,0,5,403.01158775005024,0.01375566702336073,[-0.38666666666666666],[0.11888888888888889],[1],[0],[0],[1.7801361670717597],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
174,0,174,0,10,404.82462291698903,0.02586999989580363,[-0.4444444444444444],[0.44666666666666666],[1],[0],[0],[1.832021459005773],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
175,0,175,0,5,406.6704323340673,0.01393466698937118,[-0.14],[0.12],[1],[0],[0],[1.6049273329554126],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
176,0,176,0,10,408.308267250075,0.02589474990963936,[-0.17666666666666667],[-0.14777777777777779],[1],[0],[0],[1.5896417499752715],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
177,0,177,0,10,409.92685754201375,0.02536487497854978,[0.03222222222222222],[0.09222222222222222],[1],[0],[0],[1.2711742089595646],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
178,0,178,0,5,411.2118842500495,0.014005208038724959,[0.13555555555555557],[-0.15555555555555556],[1],[0],[0],[1.7299249999923632],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
179,0,179,0,10,412.97538116702344,0.026033832924440503,"[-0.06888888888888889, -0.057777777777777775]","[-0.0077777777777777776, -0.01]","[1, 1]","[0, 0]","[0, 0]","[1.6642095840070397, 2.2820572920609266]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
180,0,180,0,10,415.2867233750876,0.025890791905112565,[0.31222222222222223],[0.38333333333333336],[1],[0],[0],[1.5533778329845518],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
181,0,181,0,10,416.8691292500589,0.025810583028942347,"[0.19777777777777777, 0.19555555555555557, 0.19, 0.18444444444444444]","[0.3322222222222222, 0.3322222222222222, 0.3288888888888889, 0.32666666666666666]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1.1061747919302434, 1.5702631250023842, 2.137511041946709, 2.62414045794867]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
182,0,182,0,5,419.50727566704154,0.01389445795211941,[0.29555555555555557],[-0.01],[1],[0],[0],[1.3411561660468578],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
183,0,183,0,10,420.8814636670286,0.02580408297944814,[0.4088888888888889],[0.37],[1],[0],[0],[1.4663766250014305],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
184,0,184,0,10,422.37918687507045,0.027729958994314075,[0.06222222222222222],[0.06444444444444444],[1],[0],[0],[1.1654945829650387],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
185,0,185,0,5,423.55961950006895,0.01522725005634129,[0.27],[0.29444444444444445],[1],[0],[0],[0.9563542089890689],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
186,0,186,0,5,424.53307600005064,0.0135268330341205,"[0.08555555555555555, 0.08888888888888889, 0.10222222222222223]","[-0.23555555555555555, -0.23777777777777778, -0.2588888888888889]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.5879967499058694, 2.142734874971211, 2.870037292013876]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
