trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,fixation.started,target.started,mouse.started,fixation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
55,0,55,0,10,197.6672366,197.6672366,0.050163023,198.6756624,[-0.2611111111111111],[0.010185185185185186],[1],[0],[0],[1.676075242459774],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
56,0,56,0,5,199.3655682,199.3655682,0.025188843,200.3743207,[-0.47129629629629627],[0.2222222222222222],[1],[0],[0],[1.6860654465854168],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
57,0,57,0,10,201.1153816,201.1153816,0.052109241,202.12263,[0.4777777777777778],[0.23425925925925925],[1],[0],[0],[4.039833705872297],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
58,0,58,0,10,205.2137254,205.2137254,0.052628795,206.2190587,[0.08796296296296297],[-0.0962962962962963],[1],[0],[0],[3.2569124326109886],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
59,0,59,0,5,208.4914125,208.4914125,0.025473287,209.4995009,[0.35555555555555557],[0.4888888888888889],[1],[0],[0],[2.7515124417841434],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
60,0,60,0,10,211.3797993,211.3797993,0.126965998,212.3803144,[0.04259259259259259],[-0.010185185185185186],[1],[0],[0],[2.2169173918664455],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
61,0,61,0,5,213.6215322,213.6215322,0.025815511,214.6282509,[0.4685185185185185],[0.37962962962962965],[1],[0],[0],[2.6510188430547714],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
62,0,62,0,5,216.3016644,216.3016644,0.025303511,217.3093532,[0.40370370370370373],[-0.46944444444444444],[1],[0],[0],[3.1350424271076918],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
63,0,63,0,10,219.4986827,219.4986827,0.052467462,220.50656,[-0.3962962962962963],[0.24074074074074073],[1],[0],[0],[4.189396552741528],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
64,0,64,0,5,223.7120725,223.7120725,0.025513733,224.7195343,[-0.041666666666666664],[-0.25092592592592594],[1],[0],[0],[3.217101391404867],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
65,0,65,0,5,226.9585481,226.9585481,0.024720844,227.9666667,[-0.41388888888888886],[-0.4583333333333333],[1],[0],[0],[3.0860594026744366],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
66,0,66,0,5,230.0758314,230.0758314,0.027802173,231.0807336,[-0.09722222222222222],[0.45],[1],[0],[0],[3.365019351243973],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
67,0,67,0,10,233.506608,233.506608,0.05469368,234.5109573,[0.3425925925925926],[-0.017592592592592594],[1],[0],[0],[2.75539243593812],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
68,0,68,0,5,236.2844968,236.2844968,0.025764398,237.2919368,[-0.25462962962962965],[-0.21388888888888888],[1],[0],[0],[2.5345310494303703],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
69,0,69,0,5,238.8484523,238.8484523,0.025511956,239.8562674,[0.49166666666666664],[0.08148148148148149],[1],[0],[0],[3.3175403252243996],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
70,0,70,0,5,242.1961801,242.1961801,0.025335955,243.2034885,[-0.19537037037037036],[0.42592592592592593],[1],[0],[0],[2.568283434957266],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
71,0,71,0,5,244.7941946,244.7941946,0.025759954,245.801271,[-0.019444444444444445],[0.48703703703703705],[1],[0],[0],[1.552531462162733],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
72,0,72,0,10,246.427565,246.427565,0.068047436,247.4360921,[-0.3138888888888889],[-0.3685185185185185],[1],[0],[0],[3.2737168464809656],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
73,0,73,0,5,249.72864,249.72864,0.027880838,250.7301907,[-0.23703703703703705],[0.4564814814814815],[1],[0],[0],[4.833015406504273],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
74,0,74,0,5,254.5920576,254.5920576,0.027815506,255.5953274,[-0.49444444444444446],[-0.2537037037037037],[1],[0],[0],[3.001463107764721],[],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
