trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,fixation.started,target.started,mouse.started,fixation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
127,0,127,0,10,390.1670193,390.1670193,0.05085991,391.1741841,[0.046296296296296294],[-0.30648148148148147],[1],[0],[0],[2.45810229703784],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
128,0,128,0,5,392.6499762,392.6499762,0.027248396,393.6553673,[-0.33055555555555555],[0.36944444444444446],[1],[0],[0],[2.998992446810007],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
129,0,129,0,10,395.7137592,395.7137592,0.054548347,396.7192214,[-0.25833333333333336],[0.13518518518518519],[1],[0],[0],[1.5404341518878937],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
130,0,130,0,10,397.3102146,397.3102146,0.051301686,398.3178879,[-0.18333333333333332],[-0.21574074074074073],[1],[0],[0],[2.5423892568796873],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
131,0,131,0,5,399.878298,399.878298,0.028116839,400.8822949,[0.28703703703703703],[-0.3074074074074074],[1],[0],[0],[2.8483976032584906],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
132,0,132,0,10,402.791991,402.791991,0.053763904,403.796423,[-0.41388888888888886],[0.25555555555555554],[1],[0],[0],[2.6223064493387938],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
133,0,133,0,5,405.4379854,405.4379854,0.027662618,406.4441677,[-0.3527777777777778],[-0.4666666666666667],[1],[0],[0],[3.7652488611638546],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
134,0,134,0,5,409.2343227,409.2343227,0.026800396,410.2408662,[0.47962962962962963],[0.2111111111111111],[1],[0],[0],[2.283606607466936],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
135,0,135,0,5,411.5485897,411.5485897,0.02489729,412.555511,[-0.14444444444444443],[-0.2722222222222222],[1],[0],[0],[2.585085181519389],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
136,0,136,0,10,414.1945303,414.1945303,0.051043909,415.2031348,[0.4638888888888889],[-0.4462962962962963],[1],[0],[0],[4.141491748392582],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
137,0,137,0,10,418.3881215,418.3881215,0.048719024,419.3994828,[-0.34074074074074073],[-0.3574074074074074],[1],[0],[0],[2.744553342461586],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
138,0,138,0,5,421.1578771,421.1578771,0.027628839,422.1637135,[-0.40925925925925927],[-0.37777777777777777],[1],[0],[0],[3.732053365558386],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
139,0,139,0,5,424.919293,424.919293,0.024852846,425.9272881,[-0.45555555555555555],[0.18796296296296297],[1],[0],[0],[4.483653808012605],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
140,0,140,0,10,429.4625867,429.4625867,0.0500808,430.4731138,[-0.028703703703703703],[-0.11851851851851852],[1],[0],[0],[2.7606942038983107],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
141,0,141,0,10,432.2799262,432.2799262,0.052227907,433.2873195,[-0.41388888888888886],[0.11666666666666667],[1],[0],[0],[2.291333260014653],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
142,0,142,0,5,434.5968634,434.5968634,0.027869727,435.6020287,[0.3212962962962963],[-0.08425925925925926],[1],[0],[0],[2.7325889207422733],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
143,0,143,0,5,437.3655811,437.3655811,0.031894166,438.366234,[0.38425925925925924],[-0.12314814814814815],[1],[0],[0],[1.7622946444898844],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
144,0,144,0,10,439.1936854,439.1936854,0.052365685,440.1979974,[0.022222222222222223],[-0.07407407407407407],[1],[0],[0],[2.4411236606538296],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
145,0,145,0,10,441.6875263,441.6875263,0.050522134,442.6957805,[-0.003703703703703704],[0.20185185185185187],[1],[0],[0],[2.426794797182083],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
146,0,146,0,5,444.138822,444.138822,0.028235951,445.1436829,[-0.45925925925925926],[-0.41574074074074074],[1],[0],[0],[3.347974492236972],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
147,0,147,0,10,447.5469039,447.5469039,0.049211023,448.5573915,[0.24814814814814815],[0.4685185185185185],[1],[0],[0],[4.6426130793988705],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
148,0,148,0,10,452.2437067,452.2437067,0.049535912,453.2533102,[-0.3055555555555556],[0.12407407407407407],[1],[0],[0],[2.8110385574400425],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
149,0,149,0,10,455.1102669,455.1102669,0.054015903,456.1162393,[-0.046296296296296294],[-0.11018518518518519],[1],[0],[0],[2.2234791591763496],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
150,0,150,0,10,457.3918829,457.3918829,0.052880796,458.3987362,[-0.16666666666666666],[0.44814814814814813],[1],[0],[0],[2.441267214715481],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
151,0,151,0,10,459.8885406,459.8885406,0.051746132,460.8965984,[-0.03796296296296296],[-0.15648148148148147],[1],[0],[0],[2.574778089299798],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
152,0,152,0,10,462.5371399,462.5371399,0.060950115,463.5442115,[-0.10555555555555556],[0.4],[1],[0],[0],[2.699482312425971],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
153,0,153,0,10,465.2829866,465.2829866,0.049920356,466.2918728,[0.041666666666666664],[-0.15462962962962962],[1],[0],[0],[2.576986974105239],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
154,0,154,0,5,467.8847247,467.8847247,0.026606176,468.8896278,[-0.40925925925925927],[-0.24166666666666667],[1],[0],[0],[2.333910960704088],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
155,0,155,0,10,470.2794155,470.2794155,0.051134575,471.2874448,[0.053703703703703705],[-0.32407407407407407],[1],[0],[0],[2.0109982024878263],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
156,0,156,0,10,472.3446874,472.3446874,0.050383465,473.3523274,[0.2722222222222222],[0.14074074074074075],[1],[0],[0],[1.8428256139159203],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
157,0,157,0,5,474.2124023,474.2124023,0.027701285,475.2174267,[-0.16203703703703703],[-0.26851851851851855],[1],[0],[0],[1.6165429037064314],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
158,0,158,0,5,475.8603122,475.8603122,0.026669731,476.8659882,[0.44814814814814813],[0.07407407407407407],[1],[0],[0],[2.3173487689346075],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
159,0,159,0,10,478.2397565,478.2397565,0.051203465,479.2472067,[0.10925925925925926],[0.43703703703703706],[1],[0],[0],[2.209108518436551],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
160,0,160,0,5,480.4723076,480.4723076,0.02616173,481.4786823,[0.08703703703703704],[-0.1925925925925926],[1],[0],[0],[1.8014972414821386],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
161,0,161,0,10,482.3365736,482.3365736,0.05245813,483.3436114,[0.41574074074074074],[0.32037037037037036],[1],[0],[0],[3.107788696885109],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
162,0,162,0,5,485.4680978,485.4680978,0.026319064,486.4741969,[0.10833333333333334],[0.3435185185185185],[1],[0],[0],[2.3505495991557837],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
163,0,163,0,10,487.8819393,487.8819393,0.051864797,488.8887304,[0.4083333333333333],[-0.4666666666666667],[1],[0],[0],[3.1253397781401873],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
164,0,164,0,5,491.0296919,491.0296919,0.025957732,492.0360622,[-0.34074074074074073],[0.4222222222222222],[1],[0],[0],[3.2002276442945004],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
165,0,165,0,10,494.2950759,494.2950759,0.056002123,495.2998119,[0.3148148148148148],[0.018518518518518517],[1],[0],[0],[3.087313622236252],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
166,0,166,0,10,497.4403397,497.4403397,0.052509239,498.4470628,[-0.31296296296296294],[0.19722222222222222],[1],[0],[0],[2.1580077204853296],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
167,0,167,0,10,499.6533237,499.6533237,0.051275466,500.6618699,[0.45925925925925926],[-0.12037037037037036],[1],[0],[0],[3.1590912733227015],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
168,0,168,0,10,502.8727687,502.8727687,0.054396791,503.8756629,[-0.05648148148148148],[0.10185185185185185],[1],[0],[0],[2.388898864388466],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
169,0,169,0,10,505.3165701,505.3165701,0.052612351,506.3234981,[0.07314814814814814],[-0.27314814814814814],[1],[0],[0],[2.7080236300826073],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
170,0,170,0,5,508.0482684,508.0482684,0.026563063,509.0546101,[-0.17592592592592593],[0.03148148148148148],[1],[0],[0],[1.701585864648223],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
171,0,171,0,5,509.7819604,509.7819604,0.026918175,510.7866644,[0.05277777777777778],[-0.3194444444444444],[1],[0],[0],[1.917497480288148],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
172,0,172,0,5,511.7282503,511.7282503,0.025870176,512.7346738,[0.13055555555555556],[-0.4212962962962963],[1],[0],[0],[1.9514169748872519],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
173,0,173,0,10,513.7439129,513.7439129,0.053777238,514.7494733,[0.16574074074074074],[-0.12407407407407407],[1],[0],[0],[1.324282979592681],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
174,0,174,0,10,515.1252962,515.1252962,0.05459279,516.1316353,[0.16296296296296298],[0.10555555555555556],[1],[0],[0],[1.6731312479823828],[],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
175,0,175,0,5,516.8229608,516.8229608,0.026263509,,[0.16296296296296298],[0.10555555555555556],[1],[0],[0],[0.5194741860032082],[],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
176,0,176,0,5,517.3756833,517.3756833,0.028125282,518.3796913,[0.42314814814814816],[-0.07685185185185185],[1],[0],[0],[2.349312713369727],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
177,0,177,0,5,519.7557564,519.7557564,0.028111504,520.7609751,[-0.46944444444444444],[0.2972222222222222],[1],[0],[0],[2.5989358257502317],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
178,0,178,0,5,522.3866895,522.3866895,0.024367068,523.3919797,[-0.04537037037037037],[0.2759259259259259],[1],[0],[0],[1.7699915207922459],[],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
179,0,179,0,10,524.2166987,524.2166987,0.051161243,525.2237596,[-0.3675925925925926],[-0.1824074074074074],[1],[0],[0],[4.323497202247381],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
180,0,180,0,10,528.5922345,528.5922345,0.049215024,529.6032234,[-0.3435185185185185],[0.20925925925925926],[1],[0],[0],[2.0286275036633015],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
181,0,181,0,5,530.646942,530.646942,0.027990617,531.6514562,[-0.24722222222222223],[-0.21296296296296297],[1],[0],[0],[2.49887777864933],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
182,0,182,0,10,533.2101485,533.2101485,0.053798571,534.2158752,[0.42962962962962964],[0.3287037037037037],[1],[0],[0],[3.1559646110981703],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
183,0,183,0,5,536.3904597,536.3904597,0.027699951,537.396446,[-0.45185185185185184],[-0.22685185185185186],[1],[0],[0],[3.36507579497993],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
184,0,184,0,10,539.818335,539.818335,0.051315909,540.8266963,[0.1537037037037037],[-0.33796296296296297],[1],[0],[0],[3.32600430957973],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
185,0,185,0,10,543.2012916,543.2012916,0.053230127,544.2071107,[0.44907407407407407],[0.09722222222222222],[1],[0],[0],[2.0734954234212637],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
186,0,186,0,5,545.2970701,545.2970701,0.024818622,546.3052332,[-0.09722222222222222],[-0.12685185185185185],[1],[0],[0],[2.702514750882983],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
187,0,187,0,10,548.0618692,548.0618692,0.051814131,549.0696541,[0.19166666666666668],[-0.425],[1],[0],[0],[3.041374148800969],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
188,0,188,0,5,551.1297162,551.1297162,0.028993281,552.1335535,[0.06296296296296296],[-0.14074074074074075],[1],[0],[0],[1.6654890403151512],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
189,0,189,0,5,552.8252701,552.8252701,0.025801286,553.832067,[0.18611111111111112],[0.4046296296296296],[1],[0],[0],[2.1018678192049265],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
190,0,190,0,5,554.956297,554.956297,0.025030622,555.9638676,[-0.40555555555555556],[0.35],[1],[0],[0],[3.184390340000391],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
191,0,191,0,5,558.1722726,558.1722726,0.028005727,559.1774326,[0.1824074074074074],[-0.1824074074074074],[1],[0],[0],[2.565586993470788],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
192,0,192,0,5,560.7684449,560.7684449,0.026031066,561.7752151,[-0.2675925925925926],[0.49444444444444446],[1],[0],[0],[2.2679079696536064],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
193,0,193,0,10,563.0993785,563.0993785,0.053839015,564.10637,[0.40185185185185185],[-0.15833333333333333],[1],[0],[0],[3.7888114862143993],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
194,0,194,0,10,566.9461103,566.9461103,0.052462574,567.9531036,[0.09259259259259259],[-0.20462962962962963],[1],[0],[0],[2.2741928454488516],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
195,0,195,0,5,569.2441062,569.2441062,0.026568841,570.2510707,[-0.22777777777777777],[0.42962962962962964],[1],[0],[0],[2.1181789003312588],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
196,0,196,0,10,571.4258281,571.4258281,0.052580351,572.432445,[-0.1037037037037037],[0.4685185185185185],[1],[0],[0],[2.0583025626838207],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
197,0,197,0,5,573.5092138,573.5092138,0.027569283,574.5139786,[-0.09351851851851851],[0.06574074074074074],[1],[0],[0],[1.783140828832984],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
198,0,198,0,5,575.3237754,575.3237754,0.027108841,576.3290256,[-0.15555555555555556],[0.07037037037037037],[1],[0],[0],[1.6341602057218552],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
199,0,199,0,5,576.9876827,576.9876827,0.026202619,577.9943556,[-0.3962962962962963],[-0.019444444444444445],[1],[0],[0],[2.150062844157219],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
